NAID,Box #,SHIP NAME,Month,Year,Actual File Name,Link to NAC,Hyperlink
146174227,1439,Bullfinch (AM-66),July to September,1943,bullfinch-am-66-1943-07,http://catalog.archives.gov/id/146174227,bullfinch-am-66-1943-07
146174288,1439,Bullfinch (AM-66),October to December,1943,bullfinch-am-66-1943-10,http://catalog.archives.gov/id/146174288,bullfinch-am-66-1943-10
146174350,1449,Bulwark (AMC-68),April to June,1942,bulwark-amc-68-1942-04,http://catalog.archives.gov/id/146174350,bulwark-amc-68-1942-04
146174403,1449,Bulwark (AMC-68),July to September,1942,bulwark-amc-68-1942-07,http://catalog.archives.gov/id/146174403,bulwark-amc-68-1942-07
146174456,1449,Bulwark (AMC-68),October to December,1942,bulwark-amc-68-1942-10,http://catalog.archives.gov/id/146174456,bulwark-amc-68-1942-10
146174508,1449,Bulwark (AMC-68),"January 1 to May 7,",1943,bulwark-amc-68-1943-01,http://catalog.archives.gov/id/146174508,bulwark-amc-68-1943-01
146174578,1449,Bulwark (AMC-68),April to June,1943,bulwark-amc-68-1943-04,http://catalog.archives.gov/id/146174578,bulwark-amc-68-1943-04
146174628,1462,Bunting (AMC-7),"June 6 to 30,",1941,bunting-amc-7-1941-06,http://catalog.archives.gov/id/146174628,bunting-amc-7-1941-06
146174649,1462,Bunting (AMC-7),July to September,1941,bunting-amc-7-1941-07,http://catalog.archives.gov/id/146174649,bunting-amc-7-1941-07
146174705,1462,Bunting (AMC-7),October to December,1941,bunting-amc-7-1941-10,http://catalog.archives.gov/id/146174705,bunting-amc-7-1941-10
146174762,1462,Bunting (AMC-7),January to March,1942,bunting-amc-7-1942-01,http://catalog.archives.gov/id/146174762,bunting-amc-7-1942-01
146174813,596,Burton Island (AGB-1),April,1956,burton-island-agb-1-1956-04,http://catalog.archives.gov/id/146174813,burton-island-agb-1-1956-04
146174880,598,Burton Island (AGB-1),December,1957,burton-island-agb-1-1957-12,http://catalog.archives.gov/id/146174880,burton-island-agb-1-1957-12
146174943,1497,Bush (DD-529),June,1943,bush-dd-529-1943-06,http://catalog.archives.gov/id/146174943,bush-dd-529-1943-06
146175008,476,Bushnell (AS-15),February,1952,bushnell-as-15-1952-02,http://catalog.archives.gov/id/146175008,bushnell-as-15-1952-02
146175040,476,Bushnell (AS-15),March,1952,bushnell-as-15-1952-03,http://catalog.archives.gov/id/146175040,bushnell-as-15-1952-03
146175114,476,Bushnell (AS-15),April,1952,bushnell-as-15-1952-04,http://catalog.archives.gov/id/146175114,bushnell-as-15-1952-04
146175191,476,Bushnell (AS-15),May,1952,bushnell-as-15-1952-05,http://catalog.archives.gov/id/146175191,bushnell-as-15-1952-05
146175266,476,Bushnell (AS-15),June,1952,bushnell-as-15-1952-06,http://catalog.archives.gov/id/146175266,bushnell-as-15-1952-06
146175337,476,Bushnell (AS-15),July,1952,bushnell-as-15-1952-07,http://catalog.archives.gov/id/146175337,bushnell-as-15-1952-07
146175408,476,Bushnell (AS-15),August,1952,bushnell-as-15-1952-08,http://catalog.archives.gov/id/146175408,bushnell-as-15-1952-08
146175482,476,Bushnell (AS-15),September,1952,bushnell-as-15-1952-09,http://catalog.archives.gov/id/146175482,bushnell-as-15-1952-09
146175559,476,Bushnell (AS-15),October,1952,bushnell-as-15-1952-10,http://catalog.archives.gov/id/146175559,bushnell-as-15-1952-10
146175641,476,Bushnell (AS-15),November,1952,bushnell-as-15-1952-11,http://catalog.archives.gov/id/146175641,bushnell-as-15-1952-11
146175720,476,Bushnell (AS-15),December,1952,bushnell-as-15-1952-12,http://catalog.archives.gov/id/146175720,bushnell-as-15-1952-12
146175798,1632,Canary (AMC-25),"June 19 to 30,",1941,canary-amc-25-1941-06,http://catalog.archives.gov/id/146175798,canary-amc-25-1941-06
146175812,1632,Canary (AMC-25),July to September,1941,canary-amc-25-1941-07,http://catalog.archives.gov/id/146175812,canary-amc-25-1941-07
146175865,1632,Canary (AMC-25),October to December,1941,canary-amc-25-1941-10,http://catalog.archives.gov/id/146175865,canary-amc-25-1941-10
146175920,1632,Canary (AMC-25),April to June,1942,canary-amc-25-1942-04,http://catalog.archives.gov/id/146175920,canary-amc-25-1942-04
146175971,1632,Canary (AMC-25),July to September,1942,canary-amc-25-1942-07,http://catalog.archives.gov/id/146175971,canary-amc-25-1942-07
146176023,1632,Canary (AMC-25),October to December,1942,canary-amc-25-1942-10,http://catalog.archives.gov/id/146176023,canary-amc-25-1942-10
146176075,1633,Canary (AMC-25),April to June,1943,canary-amc-25-1943-04,http://catalog.archives.gov/id/146176075,canary-amc-25-1943-04
146176126,1633,Canary (AMC-25),July to September,1943,canary-amc-25-1943-07,http://catalog.archives.gov/id/146176126,canary-amc-25-1943-07
146176178,1634,Canasatego (YN-38),"December 21 to 31,",1940,canasatego-yn-38-1940-12,http://catalog.archives.gov/id/146176178,canasatego-yn-38-1940-12
146176189,1634,Canasatego (YN-38),January to April,1941,canasatego-yn-38-1941-01,http://catalog.archives.gov/id/146176189,canasatego-yn-38-1941-01
146176266,1634,Canasatego (YN-38),May to June,1941,canasatego-yn-38-1941-05,http://catalog.archives.gov/id/146176266,canasatego-yn-38-1941-05
146176313,1634,Canasatego (YN-38),July to September,1941,canasatego-yn-38-1941-07,http://catalog.archives.gov/id/146176313,canasatego-yn-38-1941-07
146176376,1634,Canasatego (YN-38),October to December,1941,canasatego-yn-38-1941-10,http://catalog.archives.gov/id/146176376,canasatego-yn-38-1941-10
146176433,1634,Canasatego (YN-38),January to March,1942,canasatego-yn-38-1942-01,http://catalog.archives.gov/id/146176433,canasatego-yn-38-1942-01
146176510,1635,Canasatego (YN-38),"May 13 to June 30,",1942,canasatego-yn-38-1942-05,http://catalog.archives.gov/id/146176510,canasatego-yn-38-1942-05
146176551,1635,Canasatego (YN-38),July to September,1942,canasatego-yn-38-1942-07,http://catalog.archives.gov/id/146176551,canasatego-yn-38-1942-07
146176643,1635,Canasatego (YN-38),October to December,1942,canasatego-yn-38-1942-10,http://catalog.archives.gov/id/146176643,canasatego-yn-38-1942-10
146176712,1641,Candoto (YTB-377),"July 4, 1944 to March 27,",1945,candoto-ytb-377-1944-07,http://catalog.archives.gov/id/146176712,candoto-ytb-377-1944-07
146176797,672,Canon (PG-90),December,1968,canon-pg-90-1968-12,http://catalog.archives.gov/id/146176797,canon-pg-90-1968-12
146176839,816,Chevalier (DD-805),April,1966,chevalier-dd-805-1966-04,http://catalog.archives.gov/id/146176839,chevalier-dd-805-1966-04
146176890,958,Constellation (CVA-64),January,1962,constellation-cva-64-1962-01,http://catalog.archives.gov/id/146176890,constellation-cva-64-1962-01
146177017,958,Constellation (CVA-64),April,1962,constellation-cva-64-1962-04,http://catalog.archives.gov/id/146177017,constellation-cva-64-1962-04
146177104,958,Constellation (CVA-64),October,1962,constellation-cva-64-1962-10,http://catalog.archives.gov/id/146177104,constellation-cva-64-1962-10
146177196,959,Constellation (CVA-64),February,1963,constellation-cva-64-1963-02,http://catalog.archives.gov/id/146177196,constellation-cva-64-1963-02
146177278,959,Constellation (CVA-64),April,1963,constellation-cva-64-1963-04,http://catalog.archives.gov/id/146177278,constellation-cva-64-1963-04
146177362,960,Constellation (CVA-64),March,1964,constellation-cva-64-1964-03,http://catalog.archives.gov/id/146177362,constellation-cva-64-1964-03
146177460,962,Constellation (CVA-64),March,1965,constellation-cva-64-1965-03,http://catalog.archives.gov/id/146177460,constellation-cva-64-1965-03
146177515,962,Constellation (CVA-64),April,1965,constellation-cva-64-1965-04,http://catalog.archives.gov/id/146177515,constellation-cva-64-1965-04
146177559,962,Constellation (CVA-64),July,1965,constellation-cva-64-1965-07,http://catalog.archives.gov/id/146177559,constellation-cva-64-1965-07
146177602,962,Constellation (CVA-64),September,1965,constellation-cva-64-1965-09,http://catalog.archives.gov/id/146177602,constellation-cva-64-1965-09
146177650,988,Coral Sea (CVA-43),April,1964,coral-sea-cva-43-1964-04,http://catalog.archives.gov/id/146177650,coral-sea-cva-43-1964-04
146177743,988,Coral Sea (CVA-43),May,1964,coral-sea-cva-43-1964-05,http://catalog.archives.gov/id/146177743,coral-sea-cva-43-1964-05
146177835,988,Coral Sea (CVA-43),June,1964,coral-sea-cva-43-1964-06,http://catalog.archives.gov/id/146177835,coral-sea-cva-43-1964-06
146177926,552,Coral Sea (CVA-43),February,1974,coral-sea-cva-43-1974-02,http://catalog.archives.gov/id/146177926,coral-sea-cva-43-1974-02
146177971,552,Coral Sea (CVA-43),March,1974,coral-sea-cva-43-1974-03,http://catalog.archives.gov/id/146177971,coral-sea-cva-43-1974-03
146178013,552,Coral Sea (CVA-43),April,1974,coral-sea-cva-43-1974-04,http://catalog.archives.gov/id/146178013,coral-sea-cva-43-1974-04
146178066,553,Coral Sea (CVA-43),June,1974,coral-sea-cva-43-1974-06,http://catalog.archives.gov/id/146178066,coral-sea-cva-43-1974-06
146178114,553,Coral Sea (CVA-43),July,1974,coral-sea-cva-43-1974-07,http://catalog.archives.gov/id/146178114,coral-sea-cva-43-1974-07
146178283,553,Coral Sea (CVA-43),August,1974,coral-sea-cva-43-1974-08,http://catalog.archives.gov/id/146178283,coral-sea-cva-43-1974-08
146178511,989,Cree (ATF-84),May,1963,cree-atf-84-1963-05,http://catalog.archives.gov/id/146178511,cree-atf-84-1963-05
146178576,989,Cree (ATF-84),August,1963,cree-atf-84-1963-08,http://catalog.archives.gov/id/146178576,cree-atf-84-1963-08
146178639,880,Cutlass (SS-478),July,1953,cutlass-ss-478-1953-07,http://catalog.archives.gov/id/146178639,cutlass-ss-478-1953-07
146178706,880,Cutlass (SS-478),September,1953,cutlass-ss-478-1953-09,http://catalog.archives.gov/id/146178706,cutlass-ss-478-1953-09
146178771,881,Cutlass (SS-478),August,1954,cutlass-ss-478-1954-08,http://catalog.archives.gov/id/146178771,cutlass-ss-478-1954-08
146178838,2694,Cuyama (AO-3),July,1943,cuyama-ao-3-1943-07,http://catalog.archives.gov/id/146178838,cuyama-ao-3-1943-07
146178902,2694,Cuyama (AO-3),December,1943,cuyama-ao-3-1943-12,http://catalog.archives.gov/id/146178902,cuyama-ao-3-1943-12
146178970,885,Daly (DD-519),October,1953,daly-dd-519-1953-10,http://catalog.archives.gov/id/146178970,daly-dd-519-1953-10
146179045,1171,Diachenko (APD-123),June,1965,diachenko-apd-123-1965-06,http://catalog.archives.gov/id/146179045,diachenko-apd-123-1965-06
146179096,1171,Diachenko (APD-123),August,1965,diachenko-apd-123-1965-08,http://catalog.archives.gov/id/146179096,diachenko-apd-123-1965-08
146179151,1171,Diachenko (APD-123),September,1965,diachenko-apd-123-1965-09,http://catalog.archives.gov/id/146179151,diachenko-apd-123-1965-09
146179204,1171,Diachenko (APD-123),October,1965,diachenko-apd-123-1965-10,http://catalog.archives.gov/id/146179204,diachenko-apd-123-1965-10
146179255,1172,Diamond Head (AE-19),January,1962,diamond-head-ae-19-1962-01,http://catalog.archives.gov/id/146179255,diamond-head-ae-19-1962-01
146179326,1176,Diamond Head (AE-19),May,1965,diamond-head-ae-19-1965-05,http://catalog.archives.gov/id/146179326,diamond-head-ae-19-1965-05
146179369,1211,Diamond Head (AE-19),May,1967,diamond-head-ae-19-1967-05,http://catalog.archives.gov/id/146179369,diamond-head-ae-19-1967-05
146179423,2928,Diphda (AKA-59),January,1947,diphda-aka-59-1947-01,http://catalog.archives.gov/id/146179423,diphda-aka-59-1947-01
146179489,2928,Diphda (AKA-59),February,1947,diphda-aka-59-1947-02,http://catalog.archives.gov/id/146179489,diphda-aka-59-1947-02
146179552,2928,Diphda (AKA-59),March,1947,diphda-aka-59-1947-03,http://catalog.archives.gov/id/146179552,diphda-aka-59-1947-03
146179622,2928,Diphda (AKA-59),April,1947,diphda-aka-59-1947-04,http://catalog.archives.gov/id/146179622,diphda-aka-59-1947-04
146179686,2928,Diphda (AKA-59),May,1947,diphda-aka-59-1947-05,http://catalog.archives.gov/id/146179686,diphda-aka-59-1947-05
146179756,2928,Diphda (AKA-59),June,1947,diphda-aka-59-1947-06,http://catalog.archives.gov/id/146179756,diphda-aka-59-1947-06
146179822,2928,Diphda (AKA-59),July,1947,diphda-aka-59-1947-07,http://catalog.archives.gov/id/146179822,diphda-aka-59-1947-07
146179897,2928,Diphda (AKA-59),August,1947,diphda-aka-59-1947-08,http://catalog.archives.gov/id/146179897,diphda-aka-59-1947-08
146179966,2928,Diphda (AKA-59),September,1947,diphda-aka-59-1947-09,http://catalog.archives.gov/id/146179966,diphda-aka-59-1947-09
146180033,2928,Diphda (AKA-59),October,1947,diphda-aka-59-1947-10,http://catalog.archives.gov/id/146180033,diphda-aka-59-1947-10
146180107,2928,Diphda (AKA-59),November,1947,diphda-aka-59-1947-11,http://catalog.archives.gov/id/146180107,diphda-aka-59-1947-11
146180175,2928,Diphda (AKA-59),December,1947,diphda-aka-59-1947-12,http://catalog.archives.gov/id/146180175,diphda-aka-59-1947-12
146180246,2928,Diphda (AKA-59),January,1948,diphda-aka-59-1948-01,http://catalog.archives.gov/id/146180246,diphda-aka-59-1948-01
146180311,2928,Diphda (AKA-59),February,1948,diphda-aka-59-1948-02,http://catalog.archives.gov/id/146180311,diphda-aka-59-1948-02
146180375,2928,Diphda (AKA-59),March,1948,diphda-aka-59-1948-03,http://catalog.archives.gov/id/146180375,diphda-aka-59-1948-03
146180439,1045,Electra (AKA-4),May,1952,electra-aka-4-1952-05,http://catalog.archives.gov/id/146180439,electra-aka-4-1952-05
146180526,1045,Electra (AKA-4),June,1952,electra-aka-4-1952-06,http://catalog.archives.gov/id/146180526,electra-aka-4-1952-06
146180599,1045,Electra (AKA-4),July,1952,electra-aka-4-1952-07,http://catalog.archives.gov/id/146180599,electra-aka-4-1952-07
146180682,1045,Electra (AKA-4),August,1952,electra-aka-4-1952-08,http://catalog.archives.gov/id/146180682,electra-aka-4-1952-08
146180755,1045,Electra (AKA-4),September,1952,electra-aka-4-1952-09,http://catalog.archives.gov/id/146180755,electra-aka-4-1952-09
146180828,1045,Electra (AKA-4),October,1952,electra-aka-4-1952-10,http://catalog.archives.gov/id/146180828,electra-aka-4-1952-10
146180905,1045,Electra (AKA-4),December,1952,electra-aka-4-1952-12,http://catalog.archives.gov/id/146180905,electra-aka-4-1952-12
146180983,1045,Electra (AKA-4),January,1953,electra-aka-4-1953-01,http://catalog.archives.gov/id/146180983,electra-aka-4-1953-01
146181062,1045,Electra (AKA-4),February,1953,electra-aka-4-1953-02,http://catalog.archives.gov/id/146181062,electra-aka-4-1953-02
146181132,1045,Electra (AKA-4),March,1953,electra-aka-4-1953-03,http://catalog.archives.gov/id/146181132,electra-aka-4-1953-03
146181212,1045,Electra (AKA-4),April,1953,electra-aka-4-1953-04,http://catalog.archives.gov/id/146181212,electra-aka-4-1953-04
146181294,1045,Electra (AKA-4),May,1953,electra-aka-4-1953-05,http://catalog.archives.gov/id/146181294,electra-aka-4-1953-05
146181372,1045,Electra (AKA-4),June,1953,electra-aka-4-1953-06,http://catalog.archives.gov/id/146181372,electra-aka-4-1953-06
146181444,1046,Electra (AKA-4),July,1953,electra-aka-4-1953-07,http://catalog.archives.gov/id/146181444,electra-aka-4-1953-07
146181520,1046,Electra (AKA-4),August,1953,electra-aka-4-1953-08,http://catalog.archives.gov/id/146181520,electra-aka-4-1953-08
146181596,1046,Electra (AKA-4),September,1953,electra-aka-4-1953-09,http://catalog.archives.gov/id/146181596,electra-aka-4-1953-09
146181672,1046,Electra (AKA-4),October,1953,electra-aka-4-1953-10,http://catalog.archives.gov/id/146181672,electra-aka-4-1953-10
146181748,1046,Electra (AKA-4),November,1953,electra-aka-4-1953-11,http://catalog.archives.gov/id/146181748,electra-aka-4-1953-11
146181824,1046,Electra (AKA-4),December,1953,electra-aka-4-1953-12,http://catalog.archives.gov/id/146181824,electra-aka-4-1953-12
146181898,1046,Electra (AKA-4),January,1954,electra-aka-4-1954-01,http://catalog.archives.gov/id/146181898,electra-aka-4-1954-01
146181974,1046,Electra (AKA-4),February,1954,electra-aka-4-1954-02,http://catalog.archives.gov/id/146181974,electra-aka-4-1954-02
146182048,1046,Electra (AKA-4),April,1954,electra-aka-4-1954-04,http://catalog.archives.gov/id/146182048,electra-aka-4-1954-04
146182122,1046,Electra (AKA-4),May,1954,electra-aka-4-1954-05,http://catalog.archives.gov/id/146182122,electra-aka-4-1954-05
146182196,1046,Electra (AKA-4),June,1954,electra-aka-4-1954-06,http://catalog.archives.gov/id/146182196,electra-aka-4-1954-06
146182268,1046,Electra (AKA-4),July,1954,electra-aka-4-1954-07,http://catalog.archives.gov/id/146182268,electra-aka-4-1954-07
146182342,1046,Electra (AKA-4),August,1954,electra-aka-4-1954-08,http://catalog.archives.gov/id/146182342,electra-aka-4-1954-08
146182418,1046,Electra (AKA-4),October,1954,electra-aka-4-1954-10,http://catalog.archives.gov/id/146182418,electra-aka-4-1954-10
146182492,1046,Electra (AKA-4),November,1954,electra-aka-4-1954-11,http://catalog.archives.gov/id/146182492,electra-aka-4-1954-11
146182564,1046,Electra (AKA-4),December,1954,electra-aka-4-1954-12,http://catalog.archives.gov/id/146182564,electra-aka-4-1954-12
146182638,1327,Enterprise (CVA-65),October,1961,enterprise-cva-65-1961-10,http://catalog.archives.gov/id/146182638,enterprise-cva-65-1961-10
146182709,1327,Enterprise (CVA-65),June,1962,enterprise-cva-65-1962-06,http://catalog.archives.gov/id/146182709,enterprise-cva-65-1962-06
146182787,1118,Eugene A. Greene (DDR-711),July,1954,eugene-a-greene-ddr-711-1954-07,http://catalog.archives.gov/id/146182787,eugene-a-greene-ddr-711-1954-07
146182866,837,Farragut (DLG-6),February,1971,farragut-dlg-6-1971-02,http://catalog.archives.gov/id/146182866,farragut-dlg-6-1971-02
146182902,837,Farragut (DLG-6),March,1971,farragut-dlg-6-1971-03,http://catalog.archives.gov/id/146182902,farragut-dlg-6-1971-03
146182952,837,Farragut (DLG-6),April,1971,farragut-dlg-6-1971-04,http://catalog.archives.gov/id/146182952,farragut-dlg-6-1971-04
146183007,837,Farragut (DLG-6),May,1971,farragut-dlg-6-1971-05,http://catalog.archives.gov/id/146183007,farragut-dlg-6-1971-05
146183047,837,Farragut (DLG-6),June,1971,farragut-dlg-6-1971-06,http://catalog.archives.gov/id/146183047,farragut-dlg-6-1971-06
146183080,837,Farragut (DLG-6),July,1971,farragut-dlg-6-1971-07,http://catalog.archives.gov/id/146183080,farragut-dlg-6-1971-07
146183121,837,Farragut (DLG-6),August,1971,farragut-dlg-6-1971-08,http://catalog.archives.gov/id/146183121,farragut-dlg-6-1971-08
146183158,837,Farragut (DLG-6),September,1971,farragut-dlg-6-1971-09,http://catalog.archives.gov/id/146183158,farragut-dlg-6-1971-09
146183210,837,Farragut (DLG-6),October,1971,farragut-dlg-6-1971-10,http://catalog.archives.gov/id/146183210,farragut-dlg-6-1971-10
146183272,837,Farragut (DLG-6),November,1971,farragut-dlg-6-1971-11,http://catalog.archives.gov/id/146183272,farragut-dlg-6-1971-11
146183335,837,Farragut (DLG-6),December,1971,farragut-dlg-6-1971-12,http://catalog.archives.gov/id/146183335,farragut-dlg-6-1971-12
146183399,838,Farragut (DLG-6),January,1972,farragut-dlg-6-1972-01,http://catalog.archives.gov/id/146183399,farragut-dlg-6-1972-01
146183464,838,Farragut (DLG-6),February,1972,farragut-dlg-6-1972-02,http://catalog.archives.gov/id/146183464,farragut-dlg-6-1972-02
146183525,838,Farragut (DLG-6),March,1972,farragut-dlg-6-1972-03,http://catalog.archives.gov/id/146183525,farragut-dlg-6-1972-03
146183590,838,Farragut (DLG-6),April,1972,farragut-dlg-6-1972-04,http://catalog.archives.gov/id/146183590,farragut-dlg-6-1972-04
146183653,838,Farragut (DLG-6),May,1972,farragut-dlg-6-1972-05,http://catalog.archives.gov/id/146183653,farragut-dlg-6-1972-05
146183710,838,Farragut (DLG-6),June,1972,farragut-dlg-6-1972-06,http://catalog.archives.gov/id/146183710,farragut-dlg-6-1972-06
146183755,838,Farragut (DLG-6),July,1972,farragut-dlg-6-1972-07,http://catalog.archives.gov/id/146183755,farragut-dlg-6-1972-07
146183797,838,Farragut (DLG-6),August,1972,farragut-dlg-6-1972-08,http://catalog.archives.gov/id/146183797,farragut-dlg-6-1972-08
146183849,838,Farragut (DLG-6),September,1972,farragut-dlg-6-1972-09,http://catalog.archives.gov/id/146183849,farragut-dlg-6-1972-09
146183903,838,Farragut (DLG-6),October,1972,farragut-dlg-6-1972-10,http://catalog.archives.gov/id/146183903,farragut-dlg-6-1972-10
146183956,838,Farragut (DLG-6),November,1972,farragut-dlg-6-1972-11,http://catalog.archives.gov/id/146183956,farragut-dlg-6-1972-11
146184010,838,Farragut (DLG-6),December,1972,farragut-dlg-6-1972-12,http://catalog.archives.gov/id/146184010,farragut-dlg-6-1972-12
146184045,839,Farragut (DLG-6),January,1973,farragut-dlg-6-1973-01,http://catalog.archives.gov/id/146184045,farragut-dlg-6-1973-01
146184081,839,Farragut (DLG-6),February,1973,farragut-dlg-6-1973-02,http://catalog.archives.gov/id/146184081,farragut-dlg-6-1973-02
146184112,839,Farragut (DLG-6),March,1973,farragut-dlg-6-1973-03,http://catalog.archives.gov/id/146184112,farragut-dlg-6-1973-03
146184151,3512,Finback (SS-230),December,1944,finback-ss-230-1944-12,http://catalog.archives.gov/id/146184151,finback-ss-230-1944-12
146184219,3515,Finback (SS-230),April,1948,finback-ss-230-1948-04,http://catalog.archives.gov/id/146184219,finback-ss-230-1948-04
146184283,3515,Finback (SS-230),December,1948,finback-ss-230-1948-12,http://catalog.archives.gov/id/146184283,finback-ss-230-1948-12
146184349,3516,Finch (AM-9),April,1941,finch-am-9-1941-04,http://catalog.archives.gov/id/146184349,finch-am-9-1941-04
146184414,1453,Firedrake (AE-14),October,1961,firedrake-ae-14-1961-10,http://catalog.archives.gov/id/146184414,firedrake-ae-14-1961-10
146184477,1456,Firedrake (AE-14),March,1964,firedrake-ae-14-1964-03,http://catalog.archives.gov/id/146184477,firedrake-ae-14-1964-03
146184556,1458,Firedrake (AE-14),July,1965,firedrake-ae-14-1965-07,http://catalog.archives.gov/id/146184556,firedrake-ae-14-1965-07
146184591,1477,Firedrake (AE-14),February,1966,firedrake-ae-14-1966-02,http://catalog.archives.gov/id/146184591,firedrake-ae-14-1966-02
146184639,1477,Firedrake (AE-14),October,1966,firedrake-ae-14-1966-10,http://catalog.archives.gov/id/146184639,firedrake-ae-14-1966-10
146184679,1442,Forrestal (CVA-59),January,1963,forrestal-cva-59-1963-01,http://catalog.archives.gov/id/146184679,forrestal-cva-59-1963-01
146184763,1495,Forrestal (CVA-59),April,1963,forrestal-cva-59-1963-04,http://catalog.archives.gov/id/146184763,forrestal-cva-59-1963-04
146184848,1581,Frank Knox (DD-742),January,1969,frank-knox-dd-742-1969-01,http://catalog.archives.gov/id/146184848,frank-knox-dd-742-1969-01
146184899,1581,Frank Knox (DD-742),April,1969,frank-knox-dd-742-1969-04,http://catalog.archives.gov/id/146184899,frank-knox-dd-742-1969-04
146184953,1582,Frank Knox (DD-742),February,1970,frank-knox-dd-742-1970-02,http://catalog.archives.gov/id/146184953,frank-knox-dd-742-1970-02
146185002,1559,Franklin D. Roosevelt (CVA-42),September,1963,franklin-d-roosevelt-cva-42-1963-09,http://catalog.archives.gov/id/146185002,franklin-d-roosevelt-cva-42-1963-09
146185088,3767,Gansevoort (DD-608),September,1943,gansevoort-dd-608-1943-09,http://catalog.archives.gov/id/146185088,gansevoort-dd-608-1943-09
146185132,3767,Gansevoort (DD-608),July,1944,gansevoort-dd-608-1944-07,http://catalog.archives.gov/id/146185132,gansevoort-dd-608-1944-07
146185198,3798,Gato (SS-212),October,1943,gato-ss-212-1943-10,http://catalog.archives.gov/id/146185198,gato-ss-212-1943-10
146185201,3798,Gato (SS-212),September,1944,gato-ss-212-1944-09,http://catalog.archives.gov/id/146185201,gato-ss-212-1944-09
146185265,3798,Gato (SS-212),October,1944,gato-ss-212-1944-10,http://catalog.archives.gov/id/146185265,gato-ss-212-1944-10
146185331,3935,George Clymer (APA-27),July,1948,george-clymer-apa-27-1948-07,http://catalog.archives.gov/id/146185331,george-clymer-apa-27-1948-07
146185417,3935,George Clymer (APA-27),August,1948,george-clymer-apa-27-1948-08,http://catalog.archives.gov/id/146185417,george-clymer-apa-27-1948-08
146185496,3935,George Clymer (APA-27),September,1948,george-clymer-apa-27-1948-09,http://catalog.archives.gov/id/146185496,george-clymer-apa-27-1948-09
146185580,3935,George Clymer (APA-27),October,1948,george-clymer-apa-27-1948-10,http://catalog.archives.gov/id/146185580,george-clymer-apa-27-1948-10
146185657,3935,George Clymer (APA-27),November,1948,george-clymer-apa-27-1948-11,http://catalog.archives.gov/id/146185657,george-clymer-apa-27-1948-11
146185725,3935,George Clymer (APA-27),December,1948,george-clymer-apa-27-1948-12,http://catalog.archives.gov/id/146185725,george-clymer-apa-27-1948-12
146185798,3935,George Clymer (APA-27),January,1949,george-clymer-apa-27-1949-01,http://catalog.archives.gov/id/146185798,george-clymer-apa-27-1949-01
146185870,3935,George Clymer (APA-27),February,1949,george-clymer-apa-27-1949-02,http://catalog.archives.gov/id/146185870,george-clymer-apa-27-1949-02
146185934,3935,George Clymer (APA-27),March,1949,george-clymer-apa-27-1949-03,http://catalog.archives.gov/id/146185934,george-clymer-apa-27-1949-03
146186006,3935,George Clymer (APA-27),April,1949,george-clymer-apa-27-1949-04,http://catalog.archives.gov/id/146186006,george-clymer-apa-27-1949-04
146186076,3935,George Clymer (APA-27),May,1949,george-clymer-apa-27-1949-05,http://catalog.archives.gov/id/146186076,george-clymer-apa-27-1949-05
146186151,3935,George Clymer (APA-27),June,1949,george-clymer-apa-27-1949-06,http://catalog.archives.gov/id/146186151,george-clymer-apa-27-1949-06
146186225,3935,George Clymer (APA-27),July,1949,george-clymer-apa-27-1949-07,http://catalog.archives.gov/id/146186225,george-clymer-apa-27-1949-07
146186298,3935,George Clymer (APA-27),August,1949,george-clymer-apa-27-1949-08,http://catalog.archives.gov/id/146186298,george-clymer-apa-27-1949-08
146186371,3935,George Clymer (APA-27),September,1949,george-clymer-apa-27-1949-09,http://catalog.archives.gov/id/146186371,george-clymer-apa-27-1949-09
146186438,3936,George Clymer (APA-27),October,1949,george-clymer-apa-27-1949-10,http://catalog.archives.gov/id/146186438,george-clymer-apa-27-1949-10
146186508,3936,George Clymer (APA-27),November,1949,george-clymer-apa-27-1949-11,http://catalog.archives.gov/id/146186508,george-clymer-apa-27-1949-11
146186574,3936,George Clymer (APA-27),December,1949,george-clymer-apa-27-1949-12,http://catalog.archives.gov/id/146186574,george-clymer-apa-27-1949-12
146186641,3936,George Clymer (APA-27),January,1950,george-clymer-apa-27-1950-01,http://catalog.archives.gov/id/146186641,george-clymer-apa-27-1950-01
146186707,3936,George Clymer (APA-27),February,1950,george-clymer-apa-27-1950-02,http://catalog.archives.gov/id/146186707,george-clymer-apa-27-1950-02
146186770,3936,George Clymer (APA-27),March,1950,george-clymer-apa-27-1950-03,http://catalog.archives.gov/id/146186770,george-clymer-apa-27-1950-03
146186838,3936,George Clymer (APA-27),April,1950,george-clymer-apa-27-1950-04,http://catalog.archives.gov/id/146186838,george-clymer-apa-27-1950-04
146186903,3936,George Clymer (APA-27),May,1950,george-clymer-apa-27-1950-05,http://catalog.archives.gov/id/146186903,george-clymer-apa-27-1950-05
146186972,3936,George Clymer (APA-27),June,1950,george-clymer-apa-27-1950-06,http://catalog.archives.gov/id/146186972,george-clymer-apa-27-1950-06
146187037,3936,George Clymer (APA-27),July,1950,george-clymer-apa-27-1950-07,http://catalog.archives.gov/id/146187037,george-clymer-apa-27-1950-07
146187102,3936,George Clymer (APA-27),August,1950,george-clymer-apa-27-1950-08,http://catalog.archives.gov/id/146187102,george-clymer-apa-27-1950-08
